record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Sanctioned,Works Sanctioned.xlsx,59192,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),WS/MP18278/2025-2026/246690,Normal/Others,Construction of community centers and community halls,SAMUDAIK BHAWAN NIRMAN (GADRIYA PAL MOHALLA ME ),2025-11-07,2026-02-04,,,,,1000000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,55709,Uttar Pradesh,GONDA,Kirti Vardhan Singh,GONDA(DISTRICT MAGISTRATE GONDA_IDA),WS/MP794/2025-2026/239847,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",No. 8 Interlocking work in 100 meter length on the road from Kunguiyan village of development block Chhapia Gram Panchayat Chakia via paved road to the house of Narendra Tripathi via Kali Mata Temple.,2025-10-03,2025-11-02,,,,,494600.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,14274,Telangana,WARANGEL(SC),KADIYAM KAVYA,JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA),WS/MP18389/2025-2026/161150,Normal/Others,Setting up of kitchen and pantries,"Construction of Kitchen shed at Primary School, Nadimpalle H/o Jadalapet Village of Chityal Mandal",2024-12-23,2026-01-07,,,,350000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,53359,Gujarat,DAHOD(ST),Jaswantsinh Sumanbhai Bhabhor,Dahod(DISTRICT COLLECTOR DOHAD_IDA),WS/MP577/2025-2026/229520,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",VAROD GAME SURPALI MUKHY RASTA THI BHINT FALIYA SUDHI JODTA RASTA PAR C.C.ROAD NU KAM,2025-09-01,2025-12-24,,,,300000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,57469,Andhra Pradesh,NARASARAOPET,Lavu Sri Krishna Devarayalu,Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),WS/MP528/2025-2026/243084,Normal/Others,Construction of community centers and community halls,Construction of Community Hall in Kanaganapalle Village and Mandal,2025-10-20,2025-11-14,,,,,2500000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,43846,Mizoram,MIZORAM (ST),RICHARD VANLALHMANGAIHA,"SAITUAL(Dy. Commissioners Office, Saitual)",WS/MP18138/2025-2026/217432,Normal/Others,Construction of buildings for sports facilities,"Construction of Gallery at Centenary Sports Complex, Keifang",2025-07-16,2026-01-08,,,,,1500000.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,49996,Telangana,NIZAMABAD,Arvind Dharmapuri,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),WS/MP761/2025-2026/224086,Normal/Others,Construction of community centers and community halls,"Construction of community hall near Hanuman temple, Renjal (V)",2025-09-27,2026-03-30,,,,350000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,85596,Andhra Pradesh,KADAPA,Y S Avinash Reddy,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),WS/MP526/2026-2027/282389,Normal/Others,Installing tube-wells and borewells,Augumenation of MPWS Scheme to Reddyvaripalli Village of Surabhi GP of Chakrayapeta,2026-05-20,2026-08-31,,,,200000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,7595,Rajasthan,DAUSA(ST),MURARI LAL MEENA,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),WS/MP18163/2026-2027/264645,,Lighting of public spaces,,,,,2026-07-03,,,,,490092.0,,,,Payment Success,ROOP NARAYAN SAINI,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,14707,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Ajay Bhatt,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),WS/MP021/2025-2026/192311,,Construction of toilet blocks,,,,,2026-07-25,,,,,248359.0,,,,Payment Success,MAHENDRA SINGH PARIHAR,,,
Works Recommended,Works Recommended (1).xlsx,58886,Haryana,SIRSA(SC),SELJA,SIRSA(DEPUTY COMMISSIONER SIRSA_IDA),WS/MP18066/2025-2026/238500,Normal/Others,Providing CCTV camera system for security of public areas,"Installation of CCTV Camera system with 8 CCTV Cameras in Government Senior Secondary School (Code 5931), Chattergarh patti, Ward No. 2, Sirsa",2025-09-27,2025-12-30,,,,43150.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,5539,Madhya Pradesh,BETUL(ST),Durga Das Uikey,BETUL(DISTRICT COLLECTOR BETUL_IDA),WS/MP444/2024-2025/146261,Normal/Others,Purchase of mobile water tankers,L.No. 179 Dt 07.10.24 Nagar Parishad Chicholi me,2024-10-08,2024-12-24,,,,190546.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,3888,Uttar Pradesh,KAISERGANJ,KARAN BHUSHAN SINGH,BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA),WS/MP18339/2024-2025/152425,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sr.No. 05 Interlocking work of 500 meters length from Bhabharpur pucca road of Jiginiya Chhatrapal to Jagprasad Mishra's house.,,,2026-01-17,,,,,2486995.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,52680,Assam,GUWAHATI,BIJULI KALITA MEDHI,KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA),WS/MP18023/2025-2026/233930,Normal/Others,Construction of community centers and community halls,"Construction of Community hall at Dharapur Majarbahar pratham khel , Dharapur , Guwahati - 781017",2025-09-14,2026-01-08,,,,,600000.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,5239,Karnataka,BANGALORE RURAL,DR C N MANJUNATH,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),WS/MP18076/2024-2025/145644,Normal/Others,Construction of bus-sheds or bus-stops,"Construction of bus-sheds or bus-stops at Kondapura Village, Kodamballi Grama Panchayath, Channapatna Taluk, Ramanagara District, Karnataka",2024-10-05,2025-02-20,,,,500000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,79625,Himachal Pradesh,MANDI,Kangana Ranaut,MANDI(DEPUTY COMMISSIONER MANDI_IDA),WS/MP18328/2026-2027/272927,Normal/Others,Construction of boundary walls of existing public and community buildings,"Construction of Boundary Wall for Government Primary School Thach Jong in GP Thach ( Thermi), Work Executing Agency-BDO Karsog",2026-03-09,2026-04-13,,,,200000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,38773,West Bengal,PURULIA,Shri Jyotirmay Singh Mahato,PURULIA(DISTRICT MAGISTRATE PURULIA_IDA),,Normal/Others,Construction of common work sheds/ common covered sitting area,TIN SHED,2025-06-26,,,,,100000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,92379,Jharkhand,DHANBAD,DULU MAHATO,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),WS/MP18072/2026-2027/292867,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of pcc road at Agyarkund uttar at shiv shakti nagar colony from poresh chakravarti shop to Abhilash ram house,2026-07-07,2026-08-11,,,,300000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,56017,Uttar Pradesh,GHAZIABAD,ATUL GARG,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),WS/MP18218/2025-2026/233875,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Ward No 48 punit enklev me saurabh ke Makan se LuvKush ke makan tak nali And interlocking tiles ka nirman kary,2025-09-14,2025-12-12,,,,1000000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,26574,Punjab,PATIALA,DR DHARAMVIRA GANDHI,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),WS/MP18158/2025-2026/199858,,Setting up of kitchen and pantries,,,,,2025-10-24,,,,,25000.0,,,,Payment Success,SANJEEV KUMAR,,,
Works Sanctioned,Works Sanctioned.xlsx,9120,Gujarat,SABARKANTHA,SHOBHANABEN MAHENDRASINH BARAIYA,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),WS/MP18321/2024-2025/152535,Normal/Others,Construction of common work sheds/ common covered sitting area,Construction of shed near vadi at Aminpur village of Prantij taluka,2024-11-14,2025-01-22,,,,,500000.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,27489,Kerala,KOZHIKODE,Shri M K Raghavan,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),WS/MP344/2025-2026/186413,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Kannittamakkil Peettakandi Road,2025-03-25,2025-09-20,,,,,400000.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,34091,Gujarat,NAVSARI,C R Patil,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),WS/MP575/2025-2026/197095,Normal/Others,Installing tube-wells and borewells,20  work of water harvesting in Simalgam village,2025-05-06,2025-05-27,,,,100000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,19232,Uttar Pradesh,JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),WS/MP18222/2025-2026/171421,Normal/Others,Street lights,Devi Prasad vishwakarma ke makan ke pass,2025-04-23,2025-06-13,,,,,19992.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,71617,Jharkhand,RAJMAHAL(ST),Vijay Kumar Hansdak,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),WS/MP607/2025-2026/210034,,Construction of water tanks,,,,,2025-09-15,,,,,70000.0,,,,Payment Success,AJIT KUMAR,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,82405,Uttar Pradesh,BULANDSHAHR(SC),Bhola Singh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),WS/MP814/2025-2026/180015,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-09-04,,,,,451633.0,,,,Payment Success,D T CONTRACTOR,,,
Works Completed,Works Completed.xlsx,7586,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA),WS/MP18104/2025-2026/152324,Normal/Others,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","beneficiary name vishram visvkarma s/o shankar lal vishvkarma, disability more then 40%, contact no 8962216181",,,2026-01-27,,,,,95000.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,77282,Odisha,KANDHAMAL,SUKANTA KUMAR PANIGRAHI,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),WS/MP18350/2026-2027/290359,Normal/Others,Construction of community centers and community halls,"Construction of  BonajaSankar Bharati Community center at Jugabadi , Simanbadi , Daringbadi",2026-06-30,2026-08-10,,,,,1000000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,27810,Telangana,WARANGEL(SC),KADIYAM KAVYA,WARANGAL(District Collector Warangal_IDA),,Normal/Others,Installing hand pumps,PROVIDING BORE AND PUMP SET AT PERIKEDU VILLAGE,2025-03-23,,,,,200000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,101939,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),,Normal/Others,Street lights,PRATHMIK VIDHYALAYA MOZZAMPUR,2026-08-31,,,,,21497.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,35021,Himachal Pradesh,SHIMLA (SC),Suresh Kumar Kashyap,SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA),WS/MP598/2025-2026/198540,Normal/Others,Construction of community centers and community halls,Construction of Community Nav yuvak Mandal Bhawan Village Bhalona GP Bhalona Executive Agency BDO Sangrah (as per recommendation of Sh. Narain Singh),2025-05-11,2025-06-25,,,,300000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,11688,Assam,NOWGONG,Pradyut Bordoloi,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),WS/MP541/2025-2026/153744,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-05-20,,,,,176822.0,,,,Payment Success,Rajib Haque,,,
Works Completed,Works Completed.xlsx,12029,Telangana,MAHABUBABAD,BALRAM NAIK PORIKA,WARANGAL(District Collector Warangal_IDA),WS/MP18190/2025-2026/161437,Normal/Others,Installing tube-wells and borewells,Drilling of Bore well and Fixing of 1.0 Hp Pumpset near Temple near Mathru Raju house at Laknepalle Village,,,2025-07-29,,,,,133843.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,48711,Maharashtra,SHIRUR,Amol Ramsing Kolhe,PUNE(DISTRICT COLLECTOR PUNE_IDA),WS/MP661/2026-2027/222150,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of a road leading to Police Unit 5 in Bhosale Village, Hadapsar, Taluka Haveli, District Pune",2025-07-25,2026-09-02,,,,1000000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,45786,Rajasthan,BHARATPUR(SC),SANJNA JATAV,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),WS/MP18161/2024-2025/136233,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-03-29,,,,,2700.0,,,,Payment Success,Nasreen,,,
Works Sanctioned,Works Sanctioned.xlsx,47568,Odisha,CUTTACK,Shri Bhartruhari Mahtab,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),WS/MP372/2025-2026/224579,Normal/Others,Construction of community centers and community halls,"CONSTRUCTION OF BHIMESWAR COMMUNITY CENTER AT SRIRAM VILLAGE, NEAR SATYA NARAYAN VIDYA MANDIRA, BRAMHAPUR G.P. , CUTTACK",2025-08-03,2025-09-04,,,,,950000.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,64735,Andhra Pradesh,KADAPA,Y S Avinash Reddy,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),WS/MP526/2026-2027/258603,Normal/Others,"Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Provision of Slab Culvert near Anganwadi Building across Bellagodi Kaluva in Jamalamma Street Colony in Porumamilla Village  GP , Porumamilla Mandal.",2026-01-17,2026-07-03,,,,,300000.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,72022,Tamil Nadu,NAMAKKAL,V S Matheswaran,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA),WS/MP18394/2025-2026/213208,,Lighting of public spaces,,,,,2025-10-24,,,,,363818.0,,,,Payment Success,Hindusthan Power Technology,,,
Works Recommended,Works Recommended (1).xlsx,57221,Uttar Pradesh,JHANSI,Anurag Sharma,JHANSI(DISTRICT MAGISTRAE JHANSI_IDA),WS/MP468/2025-2026/235775,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of 100mtr Apex road and Nali from main roard towards Vinay Ahirwar house at village Chiplotha block Badagaon.,2025-09-20,2025-11-19,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,73958,Punjab,GURDASPUR,SUKHJINDER SINGH RANDHAWA,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),WS/MP18154/2026-2027/278422,Normal/Others,Development of public parks,Development of Park of Village Lohananwali. The working agency will be Gram Panchayat,2026-04-16,2026-05-25,,,,,300000.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,45353,Madhya Pradesh,MORENA,SHIVMANGAL SINGH TOMAR,SHEOPUR(District Collector Sheopur_IDA),WS/MP18106/2025-2026/178280,,Purchase of mobile water tankers,,,,,2025-10-29,,,,,81712.0,,,,Payment Success,THE MP STATE AGRO IND DEV CORP LTD SHEOPUR,,,
Works Recommended,Works Recommended (1).xlsx,77561,Karnataka,DAKSHINA KANNADA,CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),WS/MP18083/2026-2027/269678,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Road concreting work from the main road to the government school in the 1st ward of Sasihitlu, Haleyangady Gram Panchayat",2026-02-23,2026-05-21,,,,500000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,26893,Punjab,PATIALA,DR DHARAMVIRA GANDHI,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),WS/MP18158/2025-2026/194750,Normal/Others,Construction of boundary walls of existing public and community buildings,Construction of Boundary Wall of Crematorium in Village Behal Tehsil Patiala,,,2026-09-02,,,,,300000.0,,,,,,,,,Images
Works Completed,Works Completed.xlsx,11648,Gujarat,BHARUCH,Mansukhbhai Dhanjibhai Vasava,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),WS/MP578/2024-2025/157166,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",sutrel godaun faliya ma and nasruddin maleka na ghar thi vargra pakhajan mukhy marg ne josta c c road nu kam,,,2025-08-20,,,,,398919.0,,,,,,,,,Images
Works Completed,Works Completed.xlsx,15536,Odisha,PURI,SAMBIT PATRA,PURI(DISTRICT COLLECTOR PURI_IDA),WS/MP18149/2025-2026/182831,Normal/Others,Street lights,Installation of Solar Light at Cremation Ground of Dashagoba Village.,,,2025-09-12,,,,,40000.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,43863,Punjab,FIROZPUR,SHER SINGH GHUBAYA,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),WS/MP18153/2025-2026/212875,Normal/Others,Purchase of mobile water tankers,Purchase of Mobile water Tankar ( Steel) at Nagar Panchayat Mamdot  ( Capacity 3000 Ltrs),2025-06-27,2025-07-10,,,,240886.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,3474,Madhya Pradesh,DAMOH,RAHUL SINGH LODHI,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),WS/MP18101/2026-2027/287604,,Construction of culverts and bridges,,,,,2026-08-10,,,,,300000.0,,,,Payment Success,GRAM PANCHAYAT MAHANTPUR JP DAMOH,,,
Works Sanctioned,Works Sanctioned.xlsx,72510,Andhra Pradesh,KADAPA,Y S Avinash Reddy,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),WS/MP526/2026-2027/275154,Normal/Others,Construction of footpaths and pedestrian ways,Formation of Laying of Granite stone on Ground floor Stair case and ofter working in  ZPHS Girls high school at Kamalapuram town.,2026-03-21,2026-07-02,,,,,410000.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,34243,Rajasthan,JALORE,LUMBARAM,Sanchor(DISTRICT COLLECTOR Sanchor_IDA),WS/MP18166/2024-2025/164689,,Construction of bus-sheds or bus-stops,,,,,2025-09-01,,,,,36750.0,,,,Payment Success,GODHA RAM,,,
Works Sanctioned,Works Sanctioned.xlsx,56578,Jharkhand,DUMKA(ST),NALIN SOREN,JAMTARA(Deputy Commissioner Jamtara_IDA),WS/MP18322/2025-2026/241558,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road in front of Jama Mosque in Village- Chengaidih, Panchayat- Chengaidih",2025-10-15,2026-02-02,,,,,500000.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,42607,Tamil Nadu,TENKASI(SC),DR RANI SRI KUMAR,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),WS/MP18182/2025-2026/161267,,Street lights,,,,,2025-06-19,,,,,418432.0,,,,Payment Success,SUPER ELECTRICALS,,,
Works Sanctioned,Works Sanctioned.xlsx,28075,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,BISHNU PADA RAY,NORTH AND MIDDLE ANDAMAN(Implementing District Authority(N&MA)),WS/MP18275/2025-2026/187484,Normal/Others,Construction of community centers and community halls,"Construction of Open Community Hall near Airport junction at Shibpur Ward No.3, Shipbur GP, Diglipur Tehsil",2025-03-28,2026-01-07,,,,,2899877.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,38259,Maharashtra,OSMANABAD,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA),,Normal/Others,Construction of community centers and community halls,Construction of community centre on GP own open land (property no.260) at kasai block Tuljapur dist Dharashiv.,2025-05-26,,,,,700000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,4149,Maharashtra,MAVAL,Shrirang Appa Barne,PUNE(DISTRICT COLLECTOR PUNE_IDA),WS/MP685/2024-2025/143366,Normal/Others,"Providing sports equipment, except consumable items",Installing Open Jim At Nigdi Sec 24 In Dada Dadi Park Garden Pcmc,2024-09-25,2025-03-31,,,,996227.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,28698,Kerala,KOZHIKODE,Shri M K Raghavan,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),WS/MP344/2025-2026/186451,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Kuttikkadavu Muzhappalam Road,2025-03-25,2026-02-10,,,,400000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,32459,Bihar,SITAMARHI,DEVESH CHANDRA THAKUR,SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA),WS/MP18044/2025-2026/235986,Normal/Others,Lighting of public spaces,"A 9-meter high, 36-watt Fourlims solar LED semi mast fitted with an L1 P04 battery and mounted on an octagonal pole has been installed at near Tampu Stand, Ward No. 09, Naranga, under Parihar block, Sitamarhi. The installation stands on government land.",,,2026-07-27,,,,,360000.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,71514,West Bengal,TAMLUK,ABHIJIT GANGOPADHYAY,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of a concrete road from the house of Pravas Khaskel to the house of Panchanan Khaskel at Vill.-Kismatkhayra, Mouza- Kismatkhayra, J.L. No. 255, Plot No. 544 and 565 under Khanyadihi G.P.",2026-02-16,,,,,349613.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,52026,Jharkhand,RAJMAHAL(ST),Vijay Kumar Hansdak,PAKUR(Deputy Commissioner Pakur_IDA),WS/MP607/2025-2026/233003,Normal/Others,Construction of public staircase/ stair ghat for public convenience,"Construction of Staircase (Ghat) in Pond (Pokhar) of Raisen in Village Kasiadanga, Panchayat Maalpahari, Block Pakur, Dist. Pakur",2025-09-12,2026-03-11,,,,,201000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,27875,Madhya Pradesh,UJJAIN(SC),Shri Anil Firojiya,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),WS/MP360/2025-2026/185317,Normal/Others,Establishing public ground water recharging facilities,BOR KHANAN MOTOR PUMP,2025-03-24,2025-05-05,,,,248443.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,79778,Tamil Nadu,SIVAGANGA,Shri Karti P Chidambaram,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),WS/MP393/2025-2026/221341,,Purchase of furniture and fixtures for educational purposes,,,,,2025-10-31,,,,,800000.0,,,,Payment Success,PINNACLE INDIA TRADERS,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,34577,Tamil Nadu,KANCHEEPURAM(SC),Ganesan Selvam,CHENGALPATTU(District Collector Chengalpattu_IDA),WS/MP743/2025-2026/161762,,Purchase of sports equipment,,,,,2025-08-13,,,,,250000.0,,,,Payment Success,S K FURNITURE,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,53158,Delhi,EAST DELHI,Harsh Malhotra,EAST(COMMISSIONER EAST),WS/MP18396/2025-2026/200911,,Installation of fixed garden gym equipment,,,,,2026-04-07,,,,,176784.0,,,,Payment Success,Radhey Mohan International,,,
Works Recommended,Works Recommended (1).xlsx,85858,Kerala,KOLLAM,Shri NK Premachandran,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),,Normal/Others,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Construction of retaining wall and hand rail on the right side in between Ch11614m and Ch11640m of Kottityam Branch Canal Along the side of Maithanam  KIP Road in Kundara Constituency,2026-05-22,,,,,1000000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,52309,Bihar,JAMUI(SC),ARUN BHARTI,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),WS/MP18036/2025-2026/227849,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,Books distribution in school,2025-08-25,2026-03-24,,,,100000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,78122,Punjab,LUDHIANA,AMRINDER SINGH RAJA WARRING,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),WS/MP18157/2025-2026/188772,,Development of playfields and sports grounds,,,,,2025-11-22,,,,,300000.0,,,,Payment Success,MITTAL PAVERS,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,63659,Odisha,KORAPUT(ST),Saptagiri Sankar Ulaka,KORAPUT(District Collector Koraput_IDA),WS/MP453/2025-2026/207949,,Construction of culverts and bridges,,,,,2026-02-26,,,,,250000.0,,,,Payment Success,GITANJALI PUJARI,,,
Works Recommended,Works Recommended (1).xlsx,85255,Uttar Pradesh,RAMPUR,MOHIBBULLAH,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),WS/MP18235/2026-2027/281801,Normal/Others,Lighting of public spaces,"RECOMMENDED A HIGH MAST LIGHT WITH FOUR LED in ward number 9, Near NAYA BIJALIKE BARABER, BLOCK SHAHABAD, TEHSIL SHAHABAD (IA UPSIC MBD)",2026-05-19,2026-07-07,,,,174200.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,12360,Tamil Nadu,ARANI,THARANIVENTHAN M S,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),WS/MP18173/2025-2026/196694,Normal/Others,Lighting of public spaces,"Providing of Installation in Mini Mass Light 9 Mt, 150W, LED Light 6 No. at Gudaloor Panchayat in Chetpet Block",,,2025-08-04,,,,,300000.0,,,,,,,,,Images
